0,Accra; Ghana,5.803990,-0.090984,0.0,6345647.779277,-10076.709101,640696.740887
1,Adelanto; California,34.602400,-117.455000,0.0,-2423103.538529,-4663677.950265,3601646.887698
2,Aerzen; Delaware,52.061000,9.328230,0.0,3877643.188171,636950.355527,5006977.849972
3,Aflenz; OS,47.553200,15.292200,0.0,4159812.860527,1137387.365534,4683490.470481
4,Akita; Japan,39.638300,140.065000,0.0,-3771314.831628,3157225.008240,4047138.907355
5,Anakie; Victoria; Australia,-37.953200,144.328000,0.0,-4090782.938399,2936495.424682,-3901348.225719
6,Anchorage; Alaska,61.185900,-149.877000,0.0,-2665771.783545,-1546723.882726,5565354.479124
7,Anchorage; Alaska,61.185700,-149.876000,0.0,-2665761.677499,-1546780.209105,5565343.737714
8,Angeles; Pampanga; Philippines,15.170900,120.506000,0.0,-3125604.074199,5304952.341473,1658358.055732
9,Aquierpa; Peru,-16.470200,-71.513400,0.0,1939934.920660,-5802363.740104,-1796685.334289
10,Aracaju; Brazil,-11.081200,-37.146700,0.0,4989790.976701,-3780146.502622,-1217821.548347
11,Arlington; Oregon,45.625500,-120.175000,0.0,-2245891.564041,-3862703.864949,4536233.667115
12,Ashburn; Virginia,39.015700,-77.464900,0.0,1076990.510343,-4843945.164888,3993670.343901
13,Atlanta; Georgia,33.733500,-84.424600,0.0,515869.887414,-5284610.168297,3521900.796252
14,Awarua; New Zealand,-46.530500,168.383000,0.0,-4305667.469931,885158.029572,-4606012.324982
15,Bathurst; New South Wales; Australia,-33.436700,149.522000,0.0,-4591746.141624,2702370.863058,-3494476.708509
16,Baxley; Georgia,31.682200,-82.269000,0.0,730812.422222,-5383267.576457,3330494.613953
17,Bellingham; Washington,48.774000,-122.449000,0.0,-2259604.479257,-3553845.328740,4774031.429213
18,Benevides; Brazil,-1.359330,-48.258300,0.0,4245206.772898,-4757739.515208,-150293.075706
19,Benkelman; Nebraska,40.104900,-101.510000,0.0,-974789.901503,-4786968.771812,4086900.243890
20,Blountsville; Alabama,34.098400,-86.578500,0.0,315541.882117,-5277721.031499,3555489.212149
