 地面站位置,经度 (°),纬度 (°),频段,Ka天线尺寸 (m),Ka天线数量,Ka上行频率 (GHz),Ka下行频率 (GHz),Ka最小仰角 (°),Ka工作状态,E天线尺寸 (m),E天线数量,E上行频率 (GHz),E下行频率 (GHz),E最小仰角 (°),E工作状态,地面站创建时间,备案信息
"Brunswick, Maine",-69.9234,43.8961,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204350&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Buenos Aires, Arkansas",-58.5096,-34.5636,Ka+E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2025-01-12,--,
"Bulla Bulling, Western Australia, Australia",120.82,-31.0299,Ka,1.47,8,2.5,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl//site_search.site_lookup?pSITE_ID=10025575,
"Caldera, Chile",-70.788,-27.02,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,http://legales.elmostrador.cl/c_avisos/imagenes/EXTRACTO_02122020.pdf,
"La Caleta, Dominican Republic",-69.6617,18.454,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Calgary, AB, California",-113.907,50.9988,Ka,--,40,2,1,25,1,--,--,--,--,--,--,2025-07-24,--,
"Calverton, New York",-72.7976,40.9089,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-01-30,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024011900075&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Cataby, Western Australia, Australia",115.619,-30.8483,Ka,1.47,8,2.5,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl//site_search.site_lookup?pSITE_ID=10025044,
"Caucaia, Brazil",-38.9379,-3.75634,Ka+E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2025-04-09,--,
"Centennial, Colorado",-104.847,39.5919,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-01-30,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024011900056&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
