orbit_index,satellite_count,mean_raan_deg
1,1,0.6127
2,42,5.366256125858871
3,23,13.00026966025844
4,17,17.897870756001293
5,17,22.890306431599097
6,17,27.798782171783426
7,19,32.92025254714601
8,20,37.92441351817139
9,19,42.95472105132468
10,2,45.28585
11,19,47.969310552958575
12,19,52.88202157229807
13,20,57.91036788862396
14,78,67.624980449939
15,12,77.66034930805216
16,43,85.00915617466559
17,134,104.51533304471609
18,157,136.49434014152533
19,16,155.116568161473
20,66,163.703789963688
21,115,181.83491999155223
22,16,193.65533835600536
23,19,199.1151524857447
24,17,203.84205237311764
25,16,208.79904542703667
26,19,213.77088803407685
27,15,218.60361548003593
28,51,226.0233454907697
29,40,236.46869296952562
30,23,244.28346439322286
31,43,252.09222984315255
32,18,258.9608383127905
33,47,266.19585143059754
34,41,276.1650231969851
35,45,285.88554649474094
36,20,293.66765464107465
37,16,298.6151572186743
38,16,303.3781053778302
39,20,308.23440412915016
40,43,315.62856871270526
41,21,323.1004614748106
42,23,328.07548554179937
43,26,333.13414068210676
44,42,340.7527792096106
45,19,348.12197458841354
46,22,353.2424624952033
47,16,358.0840684898039
