orbit_index,satellite_count,mean_raan_deg
1,21,3.134342839087941
2,18,7.935082513154584
3,22,12.994259158783713
4,17,17.897870756001293
5,17,22.890306431599097
6,17,27.798782171783426
7,19,32.92025254714601
8,18,37.85512175914854
9,19,42.95472105132468
10,19,47.969310552958575
11,19,52.88202157229807
12,20,57.91036788862396
13,18,62.76399176669541
14,20,67.88105823790141
15,18,72.87768682340041
16,12,77.66034930805216
17,41,84.94903045451393
18,116,105.59050722933853
19,17,123.21229344604166
20,93,139.44736866810317
21,16,155.116568161473
22,18,159.6249663177979
23,35,166.90382407319754
24,23,174.20583938533355
25,15,178.97751277624232
26,28,183.90239751562612
27,19,188.93193129991718
28,16,193.65533835600536
29,18,199.03299282899843
30,16,203.8831654646772
31,16,208.79904542703667
32,19,213.77088803407685
33,15,218.60361548003593
34,17,223.6259471846544
35,19,228.695647500697
36,21,234.28697556557395
37,17,239.0860637746071
38,23,244.28346439322286
39,16,249.1210623726908
40,24,254.28434172546866
41,18,258.9608383127905
42,20,264.0266199426298
43,16,268.74441037001105
44,18,273.7422367168323
45,18,278.71562595864896
46,21,283.58608970211026
47,17,288.6030157451506
48,20,293.66765464107465
49,16,298.6151572186743
50,16,303.3781053778302
51,20,308.23440412915016
52,20,313.3094077633434
53,18,318.24628262876536
54,21,323.1004614748106
55,19,328.0228923715614
56,25,333.09733964650576
57,19,338.02644166631694
58,21,343.11303371142344
59,19,348.12197458841354
60,22,353.2424624952033
61,16,358.0840684898039
