orbit_index,satellite_count,mean_raan_deg
1,21,3.134342839087941
2,18,7.935082513154584
3,22,12.994259158783713
4,16,17.922162750058614
5,16,22.897750620605354
6,17,27.798782171783426
7,19,32.92025254714601
8,17,37.85701128970323
9,19,42.95472105132468
10,19,47.969310552958575
11,19,52.88202157229807
12,19,57.90682400389851
13,18,62.76399176669541
14,20,67.88105823790141
15,18,72.87768682340041
16,11,77.75447216067545
17,39,85.08637047011068
18,116,105.59050722933853
19,17,123.21229344604166
20,89,139.5157893120193
21,16,155.116568161473
22,17,159.5484790430942
23,15,164.5594169430506
24,18,169.0979275380123
25,23,174.20583938533355
26,13,178.84706104242835
27,27,183.84977662270543
28,19,188.93193129991718
29,14,193.71576914153346
30,16,198.9078411750995
31,16,203.8831654646772
32,16,208.79904542703667
33,19,213.77088803407685
34,15,218.60361548003593
35,15,223.4714058650327
36,19,228.695647500697
37,21,234.28697556557395
38,17,239.0860637746071
39,21,244.25179403543675
40,16,249.1210623726908
41,24,254.28434172546866
42,17,258.98407026489645
43,19,264.0122838941008
44,15,268.7551246957153
45,18,273.7422367168323
46,17,278.69575071552833
47,21,283.58608970211026
48,16,288.626710926444
49,19,293.6417575457617
50,16,298.6151572186743
51,16,303.3781053778302
52,20,308.23440412915016
53,20,313.3094077633434
54,17,318.22110500623626
55,21,323.1004614748106
56,18,328.033447667251
57,24,333.1060371696388
58,18,338.0123772719386
59,21,343.11303371142344
60,19,348.12197458841354
61,20,353.24759878961265
62,16,358.0840684898039
