orbit_index,satellite_count,mean_raan_deg
1,96,9.150135133152936
2,75,20.96958065673794
3,65,34.251904350490314
4,68,47.64676594879999
5,1,54.8442
6,124,60.98402061356821
7,1,68.4174
8,86,74.71588714976566
9,82,88.09874773956976
10,83,99.42271643073146
11,102,112.19171682020034
12,120,125.15744402460446
13,91,139.7603135586712
14,88,152.68870652271684
15,85,164.79486630350428
16,123,177.32400312451452
17,71,190.3292810839544
18,113,202.81823984169134
19,1,210.8081
20,74,215.88854825770042
21,67,228.83865256658956
22,78,242.19449818175784
23,118,254.55603047839207
24,125,267.2003270952481
25,108,280.03289637378157
26,81,293.0753726838497
27,52,305.90585051359443
28,78,318.5573681257548
29,90,330.20874079704515
30,121,343.5779760615293
31,80,356.86525622435886
