shell_id,count,altitude_min_km,altitude_max_km,altitude_mean_km,altitude_std_km,altitude_median_km,inclination_min_deg,inclination_max_deg,inclination_mean_deg,inclination_std_deg,inclination_median_deg,eccentricity_mean,eccentricity_std,mean_motion_mean_rev_per_day,mean_motion_std_rev_per_day
0,1,157.39,157.39,157.39,0.0,157.39,53.0199,53.0199,53.0199,0.0,53.0199,0.000217,0.0,16.45864176,0.0
1,1,193.58,193.58,193.58,0.0,193.58,53.0219,53.0219,53.0219,0.0,53.0219,0.000788,0.0,16.32271706,0.0
2,1,203.61,203.61,203.61,0.0,203.61,53.0203,53.0203,53.0203,0.0,53.0203,0.000242,0.0,16.28537271,0.0
3,2,210.24,211.44,210.84,0.5999999999999943,210.84,53.0227,53.027,53.02485,0.0021500000000003183,53.02485,0.000663,8.7e-05,16.258559245,0.0022279849999993218
4,1,210.93,210.93,210.93,0.0,210.93,42.9575,42.9575,42.9575,0.0,42.9575,0.002313,0.0,16.25821908,0.0
5,1,215.93,215.93,215.93,0.0,215.93,53.0019,53.0019,53.0019,0.0,53.0019,0.000617,0.0,16.23971856,0.0
6,2,222.18,222.91,222.54500000000002,0.3649999999999949,222.54500000000002,42.9912,42.9923,42.991749999999996,0.0005500000000004945,42.991749999999996,0.0005895,6.499999999999995e-06,16.21527953,0.001356890000000277
7,2,227.48,229.34,228.41,0.9300000000000068,228.41,53.0272,53.0321,53.029650000000004,0.002449999999999619,53.029650000000004,0.0006205,1.5499999999999997e-05,16.19366032,0.003437619999999697
8,2,244.84,249.06,246.95,2.1099999999999994,246.95,53.0314,53.0378,53.0346,0.0031999999999996476,53.0346,0.0008195,0.0002735,16.125670534999998,0.0077077049999996206
9,1,250.85,250.85,250.85,0.0,250.85,42.9706,42.9706,42.9706,0.0,42.9706,0.001766,0.0,16.11141315,0.0
10,1,252.01,252.01,252.01,0.0,252.01,53.2008,53.2008,53.2008,0.0,53.2008,0.001096,0.0,16.10719979,0.0
11,15,266.23,271.23,268.7873333333333,1.53515022790026,268.74,97.2759,97.2788,97.27741999999999,0.0007626270386006096,97.2773,9.533333333333334e-05,5.8613612374222055e-06,16.046179215333336,0.0055625762831346395
12,1,270.32,270.32,270.32,0.0,270.32,53.0349,53.0349,53.0349,0.0,53.0349,0.000341,0.0,16.04063234,0.0
13,10,271.6,274.21,272.948,0.838675145691095,272.94,97.2789,97.2802,97.27944,0.0004247352116321541,97.27935,0.00010510000000000001,5.889821729050887e-06,16.031103461,0.003029771298146348
14,3,280.79,281.78,281.29,0.40422765862813537,281.3,42.9635,42.9876,42.974133333333334,0.010040694973732507,42.9713,0.001835,0.001131618604772238,16.000950726666666,0.0014531240061405701
15,2,286.99,291.18,289.08500000000004,2.094999999999999,289.08500000000004,52.9999,53.0298,53.014849999999996,0.014950000000002461,53.014849999999996,0.0006325,7.049999999999998e-05,15.97286667,0.007531569999999377
16,1,297.34,297.34,297.34,0.0,297.34,53.2117,53.2117,53.2117,0.0,53.2117,7.5e-05,0.0,15.94320958,0.0
17,1,298.94,298.94,298.94,0.0,298.94,53.032,53.032,53.032,0.0,53.032,0.000683,0.0,15.93748313,0.0
18,4,304.46,309.2,307.45,1.889788347937414,308.07,53.0363,53.1229,53.0586,0.037137110819233786,53.0376,0.00072725,0.0004126544407855076,15.90704235,0.006759118886855578
19,14,305.59,310.57,307.9871428571428,1.5222559789030614,307.78499999999997,42.9796,42.9957,42.99435,0.004092458220399919,42.9955,0.000358,0.0006315399546233907,15.905115482142858,0.005439014344847555
20,2,309.35,310.27,309.81,0.45999999999997954,309.81,53.1375,53.2061,53.171800000000005,0.03429999999999822,53.171800000000005,0.0011,0.00036300000000000004,15.898604175,0.0016417049999999378
21,5,310.56,315.28,313.026,1.578475213615963,312.67,53.0134,53.0385,53.0303,0.009130169768411314,53.0332,0.0005482,0.00017876621604766377,15.887139311999999,0.005629575358200708
22,13,310.8,315.62,313.03076923076924,1.494793330394446,312.83,42.9778,42.9955,42.99281538461538,0.005718101642199187,42.9952,0.0005367692307692307,0.0008560982288936199,15.887125044615384,0.005327305388690043
23,3,315.9,319.64,317.5466666666667,1.559173570267987,317.1,53.0407,53.042,53.041333333333334,0.0005312459150172222,53.0413,0.00018733333333333332,0.00010490736654570811,15.87102687,0.005547302806757938
24,4,316.08,317.74,316.9075,0.616091511059854,316.905,42.9949,42.9953,42.99505,0.00015000000000024252,42.995,0.00016825,2.8613807855649e-06,15.873299495,0.002189720850799473
25,1,322.06,322.06,322.06,0.0,322.06,53.0457,53.0457,53.0457,0.0,53.0457,0.000574,0.0,15.85498459,0.0
26,1,322.24,322.24,322.24,0.0,322.24,53.2015,53.2015,53.2015,0.0,53.2015,0.000131,0.0,15.85433465,0.0
27,1,324.21,324.21,324.21,0.0,324.21,69.9997,69.9997,69.9997,0.0,69.9997,0.000306,0.0,15.84732536,0.0
28,4,324.59,327.12,325.9825,1.0891137452075579,326.11,42.9828,42.9969,42.991275,0.005186701745811106,42.9927,0.0012475,0.0009317243422815569,15.8410530125,0.0038772358187974163
29,4,327.11,330.99,328.33000000000004,1.587529527284453,327.61,53.0413,53.0445,53.042249999999996,0.0013067134345372113,53.0416,0.0003025,0.00012127345134034901,15.8327237575,0.005632736375272543
30,12,328.49,333.16,330.58166666666665,1.4685414154489826,330.25,53.1375,53.1511,53.148775,0.004067785023817817,53.15035,0.000318,0.00040094243144538007,15.82475154,0.005208963099787738
31,27,331.71,332.31,332.0759259259259,0.13897133355505276,332.07,42.9974,42.9987,42.99825555555555,0.00027532248207467384,42.9983,0.00018225925925925926,3.1690158061609946e-05,15.81945773925926,0.0004928396443659927
32,4,331.93,333.8,333.0925,0.7043214819952598,333.32,97.6146,97.6464,97.62854999999999,0.012799511709438502,97.6266,0.0001335,4.556588636249711e-05,15.815857900000001,0.002498462362053766
33,20,333.78,335.31,334.94050000000004,0.3189118216686261,335.015,53.1515,53.1574,53.1546,0.0017020575783451,53.1551,0.00010075,2.4414903235523993e-05,15.8093198435,0.0011239753230442798
