shell_id,count,altitude_min_km,altitude_max_km,altitude_mean_km,altitude_std_km,altitude_median_km,inclination_min_deg,inclination_max_deg,inclination_mean_deg,inclination_std_deg,inclination_median_deg,eccentricity_mean,eccentricity_std,mean_motion_mean_rev_per_day,mean_motion_std_rev_per_day
308,1,418.7600091023596,418.7600091023596,418.7600091023596,0.0,418.7600091023596,53.0501,53.0501,53.0501,0.0,53.0501,0.0001181,0.0,15.51747756,0.0
309,1,419.8995934662953,419.8995934662953,419.8995934662953,0.0,419.8995934662953,53.0494,53.0494,53.0494,0.0,53.0494,0.0006571,0.0,15.51357173,0.0
310,3,420.8378978777573,420.9341274778262,420.8895736286495,0.03960702879867672,420.8966955303649,53.0449,53.0502,53.0468,0.0024097026095897724,53.0453,0.000249,0.00010350210947930804,15.510179986666666,0.00013567211021073308
311,1,421.1666304826231,421.1666304826231,421.1666304826231,0.0,421.1666304826231,42.9973,42.9973,42.9973,0.0,42.9973,0.0001224,0.0,15.50923099,0.0
312,1,421.1963261326464,421.1963261326464,421.1963261326464,0.0,421.1963261326464,53.0541,53.0541,53.0541,0.0,53.0541,0.0002465,0.0,15.50912928,0.0
313,1,421.49229893466054,421.49229893466054,421.49229893466054,0.0,421.49229893466054,97.2851,97.2851,97.2851,0.0,97.2851,0.0001682,0.0,15.50811561,0.0
314,1,421.6414727806641,421.6414727806641,421.6414727806641,0.0,421.6414727806641,42.9988,42.9988,42.9988,0.0,42.9988,0.0001623,0.0,15.50760475,0.0
315,1,421.7030824562189,421.7030824562189,421.7030824562189,0.0,421.7030824562189,53.0516,53.0516,53.0516,0.0,53.0516,0.0001539,0.0,15.50739377,0.0
316,4,421.9443221048823,422.0560845290411,421.98124244573296,0.04527734380776694,421.96228157450423,53.0291,53.0511,53.043099999999995,0.008336965874944686,53.046099999999996,0.00026020000000000004,0.0001007616742615961,15.5064412825,0.00015503178518839786
317,16,421.943215251139,422.19405034911324,422.09676025856015,0.06176054242790212,422.10556543193707,42.9974,43.0019,42.9996625,0.001283488897497989,42.9998,0.00019310625,0.00011305049462933587,15.506045750624999,0.00021146529149233587
318,1,422.5086046130609,422.5086046130609,422.5086046130609,0.0,422.5086046130609,53.0499,53.0499,53.0499,0.0,53.0499,0.0006188,0.0,15.50463573,0.0
319,1,423.19610592840036,423.19610592840036,423.19610592840036,0.0,423.19610592840036,97.2851,97.2851,97.2851,0.0,97.2851,0.0001372,0.0,15.50228243,0.0
320,1,423.4079391765781,423.4079391765781,423.4079391765781,0.0,423.4079391765781,53.0478,53.0478,53.0478,0.0,53.0478,0.0001708,0.0,15.50155745,0.0
321,1,423.4953677918538,423.4953677918538,423.4953677918538,0.0,423.4953677918538,43.0018,43.0018,43.0018,0.0,43.0018,0.0010201,0.0,15.50125825,0.0
322,1,424.5372646149308,424.5372646149308,424.5372646149308,0.0,424.5372646149308,97.2853,97.2853,97.2853,0.0,97.2853,0.0001427,0.0,15.49769339,0.0
323,1,424.8565165226646,424.8565165226646,424.8565165226646,0.0,424.8565165226646,53.0464,53.0464,53.0464,0.0,53.0464,0.000478,0.0,15.49660134,0.0
324,2,424.8613696865468,424.9134978907341,424.88743378864046,0.02606410209364185,424.88743378864046,53.1628,53.1678,53.1653,0.002500000000001279,53.1653,0.00010865,3.0449999999999995e-05,15.496495589999999,8.91499999999823e-05
325,1,425.31250618088416,425.31250618088416,425.31250618088416,0.0,425.31250618088416,53.0412,53.0412,53.0412,0.0,53.0412,0.0005325,0.0,15.49504178,0.0
326,2,425.36231250086894,425.4454147381857,425.4038636195273,0.041551118658389896,425.4038636195273,53.168,53.2093,53.188649999999996,0.020649999999999835,53.188649999999996,0.0002915,0.0001799,15.494729355,0.00014209500000017528
327,6,425.7658027695734,425.87468369672024,425.8289871160814,0.0381427067048104,425.8333348233982,53.1596,53.1603,53.160050000000005,0.00022173557826205348,53.1601,0.00014534999999999998,2.1211219515467128e-05,15.493275646666667,0.00013041897838230644
328,7,426.0974427007068,426.24648633382276,426.17062440993897,0.04406134097902548,426.16601550468295,97.2835,97.2863,97.28508571428573,0.001039819450575113,97.2857,0.0001467857142857143,5.95566579838399e-05,15.492107584285714,0.00015063674156806504
329,1,427.14798615579184,427.14798615579184,427.14798615579184,0.0,427.14798615579184,53.0516,53.0516,53.0516,0.0,53.0516,0.0005124,0.0,15.48876678,0.0
330,1,427.3468218019789,427.3468218019789,427.3468218019789,0.0,427.3468218019789,53.0506,53.0506,53.0506,0.0,53.0506,0.0002176,0.0,15.48808727,0.0
331,1,427.5375627152025,427.5375627152025,427.5375627152025,0.0,427.5375627152025,53.0525,53.0525,53.0525,0.0,53.0525,0.0004982,0.0,15.48743547,0.0
332,1,428.8072231779415,428.8072231779415,428.8072231779415,0.0,428.8072231779415,53.0307,53.0307,53.0307,0.0,53.0307,0.0004765,0.0,15.48309795,0.0
